2025.04.14 18:41:08.300 周一心率, 76, 100

2025.04.14 18:42:07.300 周一心率, 79, 100

2025.04.14 18:43:06.300 周一心率, 85, 97

2025.04.14 18:44:05.300 周一心率, 94, 98

2025.04.14 18:45:04.300 周一心率, 83, 97

2025.04.14 18:46:03.300 周一心率, 93, 100

2025.04.14 18:47:02.300 周一心率, 90, 99

2025.04.14 18:48:01.300 周一心率, 84, 99

2025.04.14 18:49:00.300 周一心率, 85, 99

2025.04.14 18:49:59.300 周一心率, 92, 96

2025.04.14 18:50:58.300 周一心率, 95, 99

2025.04.14 18:51:57.300 周一心率, 90, 100

2025.04.14 18:52:56.300 周一心率, 89, 94

2025.04.14 18:53:55.300 周一心率, 94, 97

2025.04.14 18:54:54.300 周一心率, 98, 98

2025.04.14 18:55:53.300 周一心率, 91, 99

2025.04.14 18:56:52.300 周一心率, 91, 100

2025.04.14 18:57:51.300 周一心率, 97, 97

2025.04.14 18:58:50.300 周一心率, 95, 97

2025.04.14 18:59:49.300 周一心率, 91, 97

2025.04.14 19:00:48.300 周一心率, 92, 98

2025.04.14 19:01:47.300 周一心率, 93, 93

2025.04.14 19:02:46.300 周一心率, 98, 96

2025.04.14 19:03:45.300 周一心率, 92, 97

2025.04.14 19:04:44.300 周一心率, 92, 97

2025.04.14 19:05:43.300 周一心率, 90, 95

2025.04.14 19:06:42.300 周一心率, 87, 94

2025.04.14 19:07:41.300 周一心率, 99, 100

2025.04.14 19:08:40.300 周一心率, 98, 97

2025.04.14 19:09:39.300 周一心率, 91, 96

2025.04.14 19:10:38.300 周一心率, 85, 100

2025.04.14 19:11:37.300 周一心率, 89, 97

2025.04.14 19:12:36.300 周一心率, 78, 99

2025.04.14 19:13:35.300 周一心率, 82, 95

2025.04.14 19:14:34.300 周一心率, 82, 96

2025.04.14 19:15:33.300 周一心率, 83, 95

2025.04.14 19:16:32.300 周一心率, 79, 95

2025.04.14 19:17:31.300 周一心率, 79, 100

2025.04.14 19:18:30.300 周一心率, 81, 97

2025.04.14 19:19:29.300 周一心率, 86, 92

2025.04.14 19:20:28.300 周一心率, 68, 97

2025.04.14 19:21:27.300 周一心率, 81, 97

2025.04.14 19:22:26.300 周一心率, 82, 98

2025.04.14 19:23:25.300 周一心率, 85, 94

2025.04.14 19:24:24.300 周一心率, 71, 97

2025.04.14 19:25:23.300 周一心率, 74, 94

2025.04.14 19:26:22.300 周一心率, 82, 97

2025.04.14 19:27:21.300 周一心率, 76, 100

2025.04.14 19:28:20.300 周一心率, 75, 98

2025.04.14 19:29:19.300 周一心率, 71, 96

2025.04.14 19:30:18.300 周一心率, 72, 98

2025.04.14 19:31:17.300 周一心率, 70, 100

2025.04.14 19:32:16.300 周一心率, 76, 97

2025.04.14 19:33:15.300 周一心率, 80, 98

2025.04.14 19:34:14.300 周一心率, 78, 100

2025.04.14 19:35:13.300 周一心率, 85, 94

2025.04.14 19:36:12.300 周一心率, 80, 97

2025.04.14 19:37:11.300 周一心率, 74, 99

2025.04.14 19:38:10.300 周一心率, 67, 98

2025.04.14 19:39:09.300 周一心率, 70, 94

2025.04.14 19:40:08.300 周一心率, 77, 98

2025.04.14 19:41:07.300 周一心率, 72, 98

2025.04.14 19:42:06.300 周一心率, 84, 94

2025.04.14 19:43:05.300 周一心率, 75, 96

2025.04.14 19:44:04.300 周一心率, 81, 99

2025.04.14 19:45:03.300 周一心率, 72, 97

2025.04.14 19:46:02.300 周一心率, 86, 93

2025.04.14 19:47:01.300 周一心率, 82, 97

2025.04.14 19:48:00.300 周一心率, 75, 92

2025.04.14 19:48:59.300 周一心率, 86, 97

2025.04.14 19:49:58.300 周一心率, 81, 94

2025.04.14 19:50:57.300 周一心率, 85, 98

2025.04.14 19:51:56.300 周一心率, 87, 98

2025.04.14 19:52:55.300 周一心率, 73, 96

2025.04.14 19:53:54.300 周一心率, 92, 97

2025.04.14 19:54:53.300 周一心率, 86, 94

2025.04.14 19:55:52.300 周一心率, 92, 99

2025.04.14 19:56:51.300 周一心率, 89, 100

2025.04.14 19:57:50.300 周一心率, 87, 99

2025.04.14 19:58:49.300 周一心率, 93, 94

2025.04.14 19:59:48.300 周一心率, 92, 100

2025.04.14 20:00:47.300 周一心率, 100, 95

2025.04.14 20:01:46.300 周一心率, 91, 92

2025.04.14 20:02:45.300 周一心率, 96, 93

2025.04.14 20:03:44.300 周一心率, 93, 95

2025.04.14 20:04:43.300 周一心率, 91, 99

2025.04.14 20:05:42.300 周一心率, 93, 94

2025.04.14 20:06:41.300 周一心率, 90, 99

2025.04.14 20:07:40.300 周一心率, 92, 99

2025.04.14 20:08:39.300 周一心率, 96, 97

2025.04.14 20:09:38.300 周一心率, 94, 97

2025.04.14 20:10:37.300 周一心率, 91, 97

2025.04.14 20:11:36.300 周一心率, 96, 96

2025.04.14 20:12:35.300 周一心率, 97, 97

2025.04.14 20:13:34.300 周一心率, 92, 97

2025.04.14 20:14:33.300 周一心率, 87, 95

2025.04.14 20:15:32.300 周一心率, 96, 100

2025.04.14 20:16:31.300 周一心率, 85, 95

2025.04.14 20:17:30.300 周一心率, 97, 91

2025.04.14 20:18:29.300 周一心率, 89, 96

2025.04.14 20:19:28.300 周一心率, 88, 99

2025.04.14 20:20:27.300 周一心率, 98, 90

2025.04.14 20:21:26.300 周一心率, 88, 96

2025.04.14 20:22:25.300 周一心率, 86, 97

2025.04.14 20:23:24.300 周一心率, 81, 98

2025.04.14 20:24:23.300 周一心率, 76, 97

2025.04.14 20:25:22.300 周一心率, 85, 98

